value,created_at
488,07/29/17 02:20:12 056251
450,07/29/17 02:20:12 056886
501,07/29/17 02:20:12 057244
488,07/29/17 02:20:12 072340
582,07/29/17 02:20:12 072830
521,07/29/17 02:20:12 073136
496,07/29/17 02:20:12 088296
540,07/29/17 02:20:12 088814
622,07/29/17 02:20:12 089046
553,07/29/17 02:20:12 104136
487,07/29/17 02:20:12 104855
540,07/29/17 02:20:12 105271
706,07/29/17 02:20:12 120045
382,07/29/17 02:20:12 120769
170,07/29/17 02:20:12 121115
542,07/29/17 02:20:12 121440
553,07/29/17 02:20:12 136403
572,07/29/17 02:20:12 137148
511,07/29/17 02:20:12 137595
556,07/29/17 02:20:12 152253
551,07/29/17 02:20:12 152811
495,07/29/17 02:20:12 153206
614,07/29/17 02:20:12 168241
497,07/29/17 02:20:12 168789
590,07/29/17 02:20:12 169328
544,07/29/17 02:20:12 184367
571,07/29/17 02:20:12 185007
555,07/29/17 02:20:12 185320
302,07/29/17 02:20:12 200206
599,07/29/17 02:20:12 200757
522,07/29/17 02:20:12 201121
473,07/29/17 02:20:12 216154
331,07/29/17 02:20:12 216658
515,07/29/17 02:20:12 217002
324,07/29/17 02:20:12 232153
501,07/29/17 02:20:12 232665
603,07/29/17 02:20:12 232972
550,07/29/17 02:20:12 248224
477,07/29/17 02:20:12 248852
